City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,La Ronge,CA,55.1001,-105.2842,59.25,88,75,4.61,broken clouds
301,Hof,DE,50.3167,11.9167,64.38,82,100,3.0,overcast clouds
302,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.7,73,0,12.28,clear sky
303,Port Blair,IN,11.6667,92.75,80.64,94,90,11.5,overcast clouds
304,Tecoanapa,MX,16.5167,-98.75,81.79,81,96,5.32,overcast clouds
305,Lana,IT,46.6124,11.1559,73.8,88,88,1.66,overcast clouds
306,Luz,BR,-19.8014,-45.6856,55.94,61,0,3.06,clear sky
307,Alappuzha,IN,9.49,76.3264,79.29,82,82,5.97,broken clouds
308,Pontianak,ID,-0.0333,109.3333,85.98,74,75,6.91,broken clouds
309,Rawson,AR,-43.3002,-65.1023,46.24,46,100,17.96,overcast clouds
310,Virtsu,EE,58.5716,23.5115,59.95,68,13,0.65,few clouds
311,Bilma,NE,18.6853,12.9164,87.33,46,81,6.67,broken clouds
312,Hauterive,FR,46.0901,3.4459,58.01,93,0,3.62,clear sky
313,Tilichiki,RU,60.4667,166.1,56.26,86,100,5.32,overcast clouds
314,Pontiac,US,42.6389,-83.2911,72.61,96,40,0.0,fog
315,Kongwa,TZ,-6.2,36.4167,57.56,76,0,5.46,clear sky
316,Barcelona,ES,41.3888,2.159,77.61,76,0,3.0,clear sky
317,Borogontsy,RU,62.6683,131.1683,76.82,41,22,8.16,few clouds
318,Baltiysk,RU,54.6538,19.911,53.58,78,11,9.4,few clouds
319,Daru,PG,-9.0763,143.2092,78.76,88,97,14.16,moderate rain
320,Issaquah,US,47.5301,-122.0326,79.84,59,1,3.0,haze
321,Cidreira,BR,-30.1811,-50.2056,61.43,77,29,6.71,scattered clouds
322,Zhoucheng,CN,35.9122,116.3117,89.01,52,0,5.88,clear sky
323,Dunedin,NZ,-45.8742,170.5036,51.8,35,100,17.0,overcast clouds
324,Campoverde,PE,-8.4753,-74.8058,72.93,64,0,1.12,clear sky
325,Nzega,RW,-2.479,29.5564,52.97,59,66,3.69,broken clouds
326,Palmer,US,42.1584,-72.3287,70.97,73,75,4.0,broken clouds
327,Altea,ES,38.5989,-0.0514,78.39,85,21,8.66,few clouds
328,Gat,IL,31.61,34.7642,77.92,84,31,0.83,scattered clouds
329,San Policarpo,PH,12.1791,125.5072,90.7,54,100,13.89,overcast clouds
330,Richards Bay,ZA,-28.783,32.0377,52.7,77,15,4.52,few clouds
331,Hofn,IS,64.2539,-15.2082,51.89,83,7,10.18,clear sky
332,Santa Adelia,BR,-21.2428,-48.8042,58.48,41,0,8.75,clear sky
333,Manacor,ES,39.5696,3.2096,76.51,82,8,8.41,clear sky
334,Teahupoo,PF,-17.8333,-149.2667,73.36,75,28,7.45,scattered clouds
335,Kaduqli,SD,11.0167,29.7167,72.27,93,100,5.84,moderate rain
336,Moussoro,TD,13.6408,16.4901,82.69,60,95,9.19,overcast clouds
337,Iqaluit,CA,63.7506,-68.5145,49.73,76,75,23.0,broken clouds
338,Feijo,BR,-8.1642,-70.3536,74.89,61,4,0.92,clear sky
339,Nogent-Le-Rotrou,FR,48.3333,1.0,60.8,95,99,10.22,overcast clouds
340,Torbay,CA,47.6666,-52.7314,58.57,90,75,17.27,broken clouds
341,Olyka,UA,50.7186,25.8125,62.94,64,95,4.56,overcast clouds
342,Sonneberg,DE,50.35,11.1667,64.13,83,100,3.31,overcast clouds
343,Ekuvukeni,ZA,-28.4675,30.1551,36.07,86,0,2.44,clear sky
344,Atar,MR,20.5169,-13.0499,88.48,30,98,8.01,overcast clouds
